Name,Platform,Year of Release,Genre,NA sales,EU sales,JP sales,Other sales,Critic Score,User Score,Rating
Driver 2,PS,2000.0,Action,2.36,2.1,0.02,0.25,62.0,7.7,T
Batman: Arkham City,X360,2011.0,Action,2.99,1.27,0.04,0.42,94.0,8.7,T
The Last of Us,PS4,2014.0,Action,1.88,2.0,0.07,0.77,,,
The Simpsons: Hit & Run,PS2,2003.0,Racing,1.73,2.19,0.0,0.79,,,
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,3.05,1.41,0.02,0.2,98.0,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,1.94,1.95,0.08,0.7,82.0,8.2,T
Tomb Raider,PS,1996.0,Action,2.29,1.97,0.13,0.24,91.0,8.6,T
Animal Crossing: City Folk,Wii,2008.0,Simulation,1.82,1.12,1.32,0.36,73.0,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,2.07,1.71,0.08,0.76,86.0,8.1,T
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,2.42,0.91,1.15,0.13,,,
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,2.6,0.99,0.89,0.13,96.0,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,3.04,1.11,0.0,0.43,86.0,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,1.8,1.39,1.11,0.29,86.0,8.4,E
Forza Motorsport 4,X360,2011.0,Racing,2.08,1.97,0.06,0.46,91.0,8.2,E
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,1.87,1.96,0.22,0.48,,,
Madden NFL 2005,PS2,2004.0,Sports,4.18,0.26,0.01,0.08,91.0,7.9,E
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,3.19,0.91,0.01,0.42,85.0,7.9,T
Pitfall!,2600,1981.0,Platform,4.21,0.24,0.0,0.05,,,
Madden NFL 07,PS2,2006.0,Sports,3.63,0.24,0.01,0.61,84.0,8.2,E
Halo 5: Guardians,XOne,2015.0,Shooter,2.78,1.27,0.03,0.41,84.0,6.4,T
Spider-Man: The Movie,PS2,2002.0,Action,2.71,1.51,0.03,0.23,76.0,7.9,E
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,0.2,0.14,4.1,0.02,,,
